Image_calc,Latitude_calc,Longitude_calc,Altitude_calc,common_name,Image_exif,Latitude_exif,Longitude_exif,Altitude_exif,error_lat,error_lon,error_alt,mean_lat,error_lat_m,error_lon_m,error_horizontal_m
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0037.JPG,34.10636,-117.7125,414.21,0037.JPG,DJI_0037.JPG,34.10636,-117.7125,412.817,0.0,0.0,1.3929999999999723,34.10636,0.0,0.0,0.0
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0038.JPG,34.10636,-117.71249,414.21,0038.JPG,DJI_0038.JPG,34.10634,-117.71251,413.617,1.9999999999242846e-05,1.9999999992137418e-05,0.5929999999999609,34.106350000000006,2.2263999999157136,1.8434551802006351,2.890533508028102
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0039.JPG,34.10631,-117.71268,393.21,0039.JPG,DJI_0039.JPG,34.10633,-117.7125,413.217,-1.9999999999242846e-05,-0.00018000000000029104,-20.007000000000005,34.10632,-2.2263999999157136,-16.591102511350822,16.7398189805558
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0040.JPG,34.1064,-117.71251,403.29,0040.JPG,DJI_0040.JPG,34.10631,-117.71247,413.117,9.000000000014552e-05,-3.999999999848569e-05,-9.826999999999998,34.106355,10.0188000000162,-3.686910143822291,10.67565734973469
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0041.JPG,34.10636,-117.71248,414.21,0041.JPG,DJI_0041.JPG,34.10626,-117.71249,413.317,0.00010000000000331966,1.0000000003174137e-05,0.8929999999999723,34.10631,11.132000000369544,0.9217280265326576,11.170094295175996
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0042.JPG,34.10646,-117.71259,405.02,0042.JPG,DJI_0042.JPG,34.10626,-117.71252,413.817,0.00019999999999953388,-7.00000000080081e-05,-8.797000000000025,34.106359999999995,22.263999999948112,-6.452092371365893,23.18006022352676
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0043.JPG,34.10635,-117.71247,414.21,0043.JPG,DJI_0043.JPG,34.10626,-117.71252,413.117,9.000000000014552e-05,5.000000000165983e-05,1.092999999999961,34.106305,10.0188000000162,4.608640403714159,11.02796081835038
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0044.JPG,34.10636,-117.71248,414.2,0044.JPG,DJI_0044.JPG,34.10628,-117.71256,413.317,8.000000000407681e-05,7.999999999697138e-05,0.8829999999999814,34.10632,8.90560000045383,7.373823338087064,11.562135701910817
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0045.JPG,34.10644,-117.7124,382.76,0045.JPG,DJI_0045.JPG,34.10632,-117.71258,413.317,0.0001200000000025625,0.00018000000000029104,-30.557000000000016,34.10638,13.358400000285258,16.591090745354602,21.300496301452984
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0046.JPG,34.10636,-117.71247,414.22,0046.JPG,DJI_0046.JPG,34.10639,-117.71258,413.517,-2.9999999995311555e-05,0.00011000000000649379,0.7030000000000314,34.106375,-3.3395999994780823,10.139000499715756,10.674842354327785
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0047.JPG,34.10651,-117.71256,403.57,0047.JPG,DJI_0047.JPG,34.10636,-117.71249,413.117,0.00014999999999787406,-6.999999999379725e-05,-9.547000000000025,34.106435000000005,16.69799999976334,-6.4520866504675425,17.901190634626456
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0048.JPG,34.10646,-117.7125,386.32,0048.JPG,DJI_0048.JPG,34.10638,-117.71247,413.717,7.999999999697138e-05,-3.000000000952241e-05,-27.39699999999999,34.10642,8.905599999662854,-2.765180484431071,9.325016593308211
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0049.JPG,34.10628,-117.7126,408.99,0049.JPG,DJI_0049.JPG,34.10639,-117.71246,413.317,-0.00010999999999938836,-0.00014000000000180535,-4.326999999999998,34.106335,-12.245199999931913,-12.904188554476017,17.789407108945547
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0050.JPG,34.10636,-117.71247,414.21,0050.JPG,DJI_0050.JPG,34.10638,-117.71242,413.117,-1.9999999999242846e-05,-5.000000000165983e-05,1.092999999999961,34.10637,-2.2263999999157136,-4.608636863021993,5.118240976627604
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0051.JPG,34.10646,-117.71232,401.21,0051.JPG,DJI_0051.JPG,34.10636,-117.71241,413.317,9.999999999621423e-05,9.000000000014552e-05,-12.107000000000028,34.10641,11.131999999578568,8.295542431174836,13.882991328169853
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0052.JPG,34.10635,-117.7125,414.16,0052.JPG,DJI_0052.JPG,34.10633,-117.71242,413.217,1.9999999999242846e-05,-8.000000001118224e-05,0.9430000000000405,34.10634,2.2263999999157136,-7.373821596287265,7.70260357888793
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0053.JPG,34.10636,-117.71247,414.21,0053.JPG,DJI_0053.JPG,34.10631,-117.71243,413.617,5.000000000165983e-05,-3.999999999848569e-05,0.5929999999999609,34.106335,5.566000000184772,-3.6869110153774542,6.6763514614921595
